Model,Year,Fuel_Type,Transmission,DoorsNum,Condition,Color,Cruise,Leather_Seats,Heated_Seats,Navigation,Owners,Insurance,Service_History,Safety,Premium_Sound,Multimedia,Bluetooth,Wheel,Sunroof,Warranty,TAge,Price,Cylinder_Numbers,Credit_History,Engine_Size,Weight,carlength,carwidth,monthly_mileage,peakrpm,Estimated_Mileage
Honda Pilot,2007,Petrol,Manual,4,Good,Brown,No,No,No,No,3,No,No Service,1 star,Yes,No,No,Chrome,No,7,4,6249.792822,two,-0.020674421,1.824446709,4053.782698,161.8,71.8,3393.534843,5109,40722.41811
Honda Pilot,2002,Petrol,Manual,4,Fair,Brown,No,No,No,No,2,No,Partial Service,2 stars,No,No,Yes,Chrome,No,23,3,6407.00933,three,-0.0008912,2.084496391,3148.753534,198.3,72.6,3494.131774,6182,41929.58129
Toyota Corolla,2021,Electric,Automatic,4,Good,Beige,No,No,Yes,Yes,2,Collision,Full Service,5 stars,No,No,No,Hubcaps,No,31,1,25973.56285,six,-0.013044695,2.780386599,3641.411464,176.3,70.8,784.4792153,5929,9413.750583
Nissan Altima,2004,Petrol,Manual,4,Good,Yellow,No,No,No,No,2,No,No Service,Not rated/Unknown,No,No,Yes,Chrome,No,14,3,5629.332407,three,0.006696725,1.475468021,3292.025818,184,71.7,3334.473958,6596,40013.6875
Honda Pilot,2002,Petrol,Manual,4,Good,Black,No,No,No,No,2,No,No Service,2 stars,No,No,No,Chrome,No,13,4,6532.565356,three,0.003665982,2.608630557,3279.655186,149.2,72.3,3499.087773,4853,41989.05327
Chevrolet Volt,2014,Hybrid,Manual,4,Excellent,Brown,No,No,No,Yes,1,Collision,No Service,5 stars,Yes,No,No,Alloy,No,6,3,25705.2541,4,-0.009398798,3.013210503,4079.153457,200.1,63.9,1055.637649,5833,12667.65179
Chevrolet Impala,2007,Electric,Automatic,4,Excellent,Brown,No,No,Yes,Yes,44,Third Party,Full Service,4 stars,No,No,Yes,Steel,No,15,3,20754.61838,six,-0.005138669,3.117247571,3554.387632,197.6,65.3,1328.397668,5744,15940.77202
Ford Escape,2016,Electric,Manual,4,Fair,Brown,No,No,No,Yes,3,Collision,Partial Service,1 star,Yes,No,No,Alloy,No,33,2,16175.54554,4,-0.010592135,2.017578174,2913.211885,149.3,71.6,1830.837256,5104,21970.04707
Honda Pilot,2001,Petrol,Manual,4,Good,Brown,No,No,No,No,2,No,No Service,2 stars,No,No,No,Hubcaps,No,33,3,5794.602436,three,-0.000626791,1.863799628,2994.146096,201.6,70,3436.710875,6321,41240.5305
Nissan Altima,2004,Petrol,Manual,4,Fair,Yellow,No,No,No,No,3,Third Party,Partial Service,1 star,No,No,No,Hubcaps,No,19,3,9407.059888,three,0.009551423,1.539530991,3745.406723,154.6,69.1,2635.031215,5829,31620.37458
Toyota Corolla,2019,Hybrid,Automatic,4,Excellent,Brown,No,No,No,Yes,1,Third Party,Partial Service,4 stars,Yes,No,Yes,Chrome,No,26,1,24395.52283,4,-0.00985726,2.333797477,3588.082258,168.2,67.3,1019.19661,5037,12230.35932
Toyota Tundra,2011,Petrol,Automatic,4,Fair,Black,No,No,Yes,Yes,1,Collision,Partial Service,4 stars,No,Yes,Yes,Chrome,No,19,1,19805.44319,three,0.005040465,2.03466284,3778.317965,195,72.8,1502.891986,6553,18034.70383
Nissan Altima,2008,Petrol,Manual,4,Fair,Yellow,No,No,No,Yes,44,Collision,Partial Service,Not rated/Unknown,No,No,No,Hubcaps,No,12,2,8360.450466,three,-0.005302576,2.311388735,3440.066974,180.4,67.1,2997.498605,6149,35969.98326
Ford Fusion,2009,Hybrid,Manual,4,Good,Brown,No,Yes,Yes,Yes,2,Comprehensive,Partial Service,5 stars,Yes,No,No,Alloy,No,17,2,27735.30887,five,-0.007928728,3.159070974,3619.769629,141.7,61.6,946.7156267,5161,11360.58752
Toyota Corolla,2019,Hybrid,Manual,4,Excellent,Beige,No,Yes,No,Yes,2,Comprehensive,Full Service,1 star,No,No,Yes,Forged,No,31,1,29735.73575,five,-0.001070304,2.076896494,3786.946435,142.6,62.4,634.1321396,5455,7609.585675
Honda Pilot,2002,Petrol,Manual,4,Fair,Yellow,No,No,No,No,44,No,No Service,Not rated/Unknown,No,No,Yes,Chrome,No,27,3,6088.346523,two,-0.010352423,2.469325176,3063.030241,166.5,63.4,3517.901465,4731,42214.81758
Ford Escape,2005,Hybrid,Automatic,2,Excellent,Black,Yes,No,No,Yes,22,Third Party,Full Service,4 stars,No,No,Yes,Chrome,No,27,3,27792.3819,five,-0.005536493,2.357052266,3403.957942,166.9,61.7,1198.904629,4299,14386.85555
Honda Pilot,2006,Petrol,Manual,4,Good,Brown,No,No,No,No,22,No,No Service,1 star,Yes,No,No,Hubcaps,No,11,3,5543.170986,three,-0.011978779,2.035230468,3096.820183,160.8,60.3,3357.555221,5815,40290.66265
Chevrolet Bolt,2019,Hybrid,Manual,2,Fair,Black,Yes,No,Yes,Yes,22,Collision,Partial Service,4 stars,No,No,No,Hubcaps,No,18,2,16971.51012,two,0.019647251,2.47268867,3383.361045,204.7,63,1782.052715,6561,21384.63258
Ford Fusion,2012,Hybrid,Automatic,4,Good,Silver,No,No,No,Yes,3,Comprehensive,Full Service,4 stars,Yes,Yes,No,Forged,No,13,2,22541.26753,three,0.000352636,2.87343907,3257.65107,186.2,60.9,1102.400124,6279,13228.80149
Toyota Tundra,2017,Hybrid,Manual,2,Good,Brown,No,No,Yes,Yes,22,Comprehensive,Full Service,2 stars,Yes,No,No,Chrome,No,28,3,18242.94462,three,-0.006997255,2.602825435,3395.76728,164.4,71.3,1613.405141,5756,19360.86169
Ford Fusion,2010,Electric,Automatic,4,Good,Brown,No,No,No,Yes,1,Third Party,Full Service,5 stars,Yes,Yes,Yes,Chrome,Yes,26,1,22976.67554,three,0.002139799,2.540870355,3219.762286,162.1,60,1064.340654,6404,12772.08785
Ford Escape,2018,Electric,Automatic,2,Excellent,Brown,Yes,No,No,Yes,22,No,Full Service,5 stars,Yes,Yes,Yes,Forged,Yes,31,1,30551.5226,4,-0.00112328,2.595991263,3598.825289,165.8,64.3,804.2123619,6445,9650.548343
Ford Escape,2013,Hybrid,Manual,4,Excellent,Brown,No,Yes,Yes,Yes,1,Third Party,Full Service,5 stars,No,No,Yes,Alloy,Yes,7,1,30114.23878,two,-0.002209696,3.009934329,3460.073134,174.6,68,465.1629236,6175,5581.955083
Ford Escape,2018,Hybrid,Manual,2,Good,Brown,Yes,Yes,No,Yes,22,Comprehensive,Partial Service,4 stars,No,Yes,No,Chrome,Yes,15,1,24468.86118,three,0.006141667,2.037951176,3632.953362,154.5,63.3,951.2680667,5032,11415.2168
Honda Pilot,2005,Petrol,Manual,4,Good,Yellow,No,No,No,No,2,No,Partial Service,1 star,Yes,No,Yes,Hubcaps,No,11,4,5981.2716,three,0.007575077,1.816751489,3468.147141,178.6,70.2,2940.760853,5234,35289.13024
Chevrolet Volt,2011,Hybrid,Automatic,4,Good,Brown,No,No,Yes,Yes,2,Collision,Full Service,3 stars,No,Yes,No,Chrome,Yes,21,1,23306.77314,five,-0.005305011,2.408805891,3670.806994,171.2,67.3,1242.079463,6116,14904.95356
Nissan Altima,2004,Petrol,Manual,4,Fair,Brown,No,No,No,Yes,2,Third Party,Full Service,4 stars,No,No,Yes,Forged,No,15,3,9330.04622,two,-0.005758182,2.02343007,3173.431573,141.1,72,2997.071445,5643,35964.85734
Ford Fusion,2007,Hybrid,Automatic,2,Good,Brown,Yes,No,No,Yes,3,Comprehensive,Full Service,4 stars,No,No,No,Forged,No,20,3,21926.08021,4,-0.002750517,2.3822703,3124.19724,149.4,72.3,1373.169513,4423,16478.03416
Toyota Prius,2008,Hybrid,Automatic,2,Good,Black,Yes,No,Yes,Yes,1,Third Party,Full Service,1 star,No,No,No,Hubcaps,No,26,1,30785.52877,4,-0.023019212,3.054099805,3975.379985,189,61.2,805.1475071,4615,9661.770085
Ford Escape,2003,Electric,Manual,4,Good,Black,Yes,No,Yes,Yes,2,Third Party,Full Service,4 stars,No,No,Yes,Hubcaps,No,25,3,17155.59052,4,-0.015151911,2.293783708,3618.666368,202.4,66.8,1520.390508,5199,18244.6861
Toyota Camry,2004,Hybrid,Automatic,2,Excellent,Silver,No,Yes,Yes,Yes,2,Third Party,No Service,5 stars,No,No,Yes,Alloy,No,15,3,25445.1946,three,0.013668743,2.30437725,3769.483455,149.8,65.6,1063.175669,4909,12758.10803
Honda Pilot,2007,Petrol,Manual,4,Fair,Brown,No,No,No,No,2,No,No Service,Not rated/Unknown,Yes,No,Yes,Alloy,No,16,4,6134.342773,two,0.016449677,2.291724247,2713.779464,195.2,62.1,3360.267073,5382,40323.20488
Toyota Corolla,2019,Electric,Automatic,2,Good,Brown,No,Yes,No,Yes,2,No,Full Service,4 stars,No,Yes,Yes,Forged,No,26,1,28576.60155,six,-0.00249036,2.836746571,3661.776253,172.7,68.1,1164.905195,6410,13978.86234
Nissan Altima,2004,Petrol,Manual,4,Good,Yellow,No,No,No,No,2,Third Party,No Service,2 stars,Yes,No,Yes,Chrome,No,30,3,8811.578356,two,0.00576557,2.219375203,3327.478122,152.4,65.3,2765.971976,5704,33191.66371
Chevrolet Volt,2008,Petrol,Manual,4,Fair,Black,Yes,No,Yes,Yes,2,Collision,Partial Service,1 star,No,No,Yes,Forged,Yes,33,1,17489.84786,five,0.003112502,2.526397244,3502.654042,162.6,64.8,1565.750305,5186,18789.00366
Toyota Tundra,2014,Hybrid,Automatic,4,Good,Black,Yes,No,Yes,Yes,1,Third Party,No Service,4 stars,Yes,No,No,Steel,No,34,1,26467.72711,six,0.030788808,2.516912131,3854.409882,141,64.8,871.5165158,5205,10458.19819
Toyota Tundra,2014,Hybrid,Automatic,4,Excellent,Black,No,Yes,Yes,Yes,2,Collision,Full Service,3 stars,No,No,Yes,Alloy,Yes,7,1,24727.69662,five,0.011195749,2.449625541,3648.888082,170.2,69.4,905.5827117,4580,10866.99254
Chevrolet Volt,2015,Petrol,Manual,2,Good,Black,No,No,Yes,Yes,44,Comprehensive,Partial Service,4 stars,Yes,No,No,Chrome,No,27,2,17443.56508,three,-0.001279176,2.120447833,3722.778479,149.3,70,1933.36623,5608,23200.39476
Nissan Juke,2013,Electric,Manual,4,Good,Yellow,No,No,No,No,2,Collision,No Service,2 stars,Yes,No,No,Alloy,Yes,32,2,10949.15663,two,-0.009555404,1.493215817,3185.95415,159.4,71.4,2649.533959,4616,31794.40751
Ford Escape,2019,Hybrid,Manual,2,Excellent,Silver,No,No,Yes,Yes,1,Comprehensive,Partial Service,4 stars,No,No,No,Alloy,No,30,1,26323.97049,three,-0.016064463,2.223632216,4082.715216,187.9,65.5,733.7595373,4960,8805.114447
Toyota Tundra,2017,Electric,Manual,4,Excellent,Brown,Yes,Yes,No,Yes,2,Comprehensive,Full Service,4 stars,No,No,Yes,Steel,No,33,3,28590.01088,five,0.002034636,3.114700346,3379.886884,166.4,62.2,557.0587507,5521,6684.705008
Chevrolet Volt,2009,Petrol,Automatic,4,Good,Brown,No,No,No,Yes,2,No,Partial Service,2 stars,Yes,No,Yes,Alloy,Yes,15,4,13069.48115,six,-0.007563507,2.393186536,3170.297873,146.2,60.3,2031.939607,4872,24383.27528
Honda Pilot,2000,Petrol,Manual,4,Good,Yellow,No,No,No,No,2,No,No Service,Not rated/Unknown,No,No,Yes,Steel,No,13,50,6629.790726,three,-0.014222537,2.013564036,3546.921354,194.7,68.4,3231.678427,5518,38780.14112
Chevrolet Impala,2005,Petrol,Automatic,4,Good,Brown,No,No,Yes,Yes,2,Comprehensive,Full Service,4 stars,No,No,Yes,Steel,No,26,2,15478.15265,4,-0.006465729,2.328725351,3715.645509,178.8,62.1,1899.336448,4616,22792.03738
Honda Pilot,2007,Petrol,Manual,4,Good,Brown,No,No,No,No,2,No,No Service,Not rated/Unknown,No,No,Yes,Alloy,No,17,2,8191.490662,three,-0.01081548,1.678196266,3372.304567,144.7,64.1,3020.887526,5673,36250.65031
Nissan Altima,2005,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,3,Collision,Full Service,2 stars,No,No,Yes,Alloy,No,16,4,9686.219917,two,0.016871416,2.548979266,3203.332356,181.6,63.7,2650.277183,5999,31803.3262
Ford Escape,2006,Electric,Manual,4,Excellent,Beige,Yes,No,Yes,Yes,3,Collision,Full Service,4 stars,Yes,No,No,Chrome,No,27,2,23215.62476,five,0.008816398,2.911990345,3965.164131,185.4,61.5,1073.231587,5185,12878.77904
Chevrolet Volt,2015,Electric,Manual,4,Good,Silver,No,No,No,Yes,1,Third Party,Full Service,4 stars,No,Yes,No,Alloy,Yes,20,3,22557.01976,three,-7.97E-05,2.254112171,3088.157722,154.1,72.3,1477.587291,4900,17731.04749
Toyota Tundra,2016,Electric,Manual,4,Excellent,Black,No,No,Yes,Yes,1,No,Partial Service,Not rated/Unknown,No,No,No,Alloy,No,31,1,32042.90455,three,0.014799441,2.784304096,3133.594555,158.8,60.9,388.1404359,5127,4657.685231
Nissan Murano,2004,Petrol,Manual,4,Fair,Black,No,No,No,Yes,3,Third Party,Full Service,1 star,No,No,No,Alloy,No,33,50,9344.180108,two,0.000773683,1.833587409,3377.017916,153.8,69.5,3243.110052,5379,38917.32062
Chevrolet Volt,2009,Electric,Automatic,4,Fair,Yellow,Yes,No,No,Yes,2,No,No Service,2 stars,No,No,No,Chrome,Yes,9,3,14470.05626,two,-0.008612842,2.377409477,3630.916606,197.9,63.6,2357.682928,4264,28292.19514
Toyota Tundra,2017,Hybrid,Automatic,4,Fair,Silver,No,No,No,Yes,3,Comprehensive,Full Service,2 stars,Yes,No,Yes,Steel,Yes,10,3,17181.84852,three,0.015231241,2.551470236,3839.818217,161.2,62,1696.834483,5106,20362.0138
Chevrolet Volt,2010,Electric,Manual,4,Good,Brown,Yes,No,No,Yes,3,Third Party,Partial Service,2 stars,No,No,Yes,Chrome,No,29,3,14857.65971,five,0.0053891,2.18400088,3036.247149,149.2,72.6,2066.683339,4882,24800.20007
Honda Pilot,2007,Petrol,Manual,4,Fair,Brown,No,No,No,No,44,No,No Service,1 star,No,No,No,Alloy,No,33,50,6521.006599,two,-0.010372462,2.172235283,3522.337912,168.5,69.7,3403.549644,6287,40842.59573
Chevrolet Impala,2005,Hybrid,Manual,4,Fair,Brown,Yes,No,No,Yes,2,Comprehensive,Partial Service,Not rated/Unknown,No,No,No,Hubcaps,No,6,3,17556.99584,two,-0.001903387,2.033462922,3511.339627,141.6,63.4,1484.062347,4624,17808.74816
Chevrolet Volt,2008,Petrol,Automatic,4,Good,Brown,No,No,No,Yes,2,Comprehensive,Partial Service,3 stars,Yes,No,No,Alloy,Yes,6,3,15189.27469,4,-0.008756183,2.659246193,3647.997751,200.2,60.4,1944.319599,4404,23331.83519
Chevrolet Volt,2008,Electric,Manual,4,Good,Brown,Yes,No,No,Yes,3,Comprehensive,Partial Service,2 stars,No,No,Yes,Chrome,No,15,3,16823.45238,two,-0.013827997,2.54222957,3276.814508,154.2,62.7,1697.402015,5037,20368.82418
Nissan Juke,2012,Petrol,Automatic,4,Good,Brown,No,No,No,Yes,3,Third Party,No Service,3 stars,Yes,No,Yes,Chrome,No,9,3,12275.46873,three,0.009261775,1.708761025,3394.837614,195.3,62.8,2277.647505,5591,27331.77006
Chevrolet Impala,2007,Hybrid,Automatic,2,Excellent,Black,Yes,No,Yes,Yes,2,Third Party,Full Service,5 stars,No,Yes,Yes,Forged,Yes,18,2,21358.84055,two,0.019094166,2.460307453,3907.129933,156.6,71.4,1276.142628,6420,15313.71153
Toyota Tundra,2013,Electric,Manual,4,Excellent,Brown,Yes,No,No,Yes,1,Third Party,Full Service,Not rated/Unknown,No,Yes,Yes,Hubcaps,Yes,19,1,34763.49733,three,-0.013985676,3.081156803,3802.101461,175.5,64.7,623.5420098,5814,7482.504117
Honda Pilot,2002,Petrol,Manual,4,Fair,Yellow,No,No,No,No,44,No,No Service,Not rated/Unknown,Yes,No,Yes,Chrome,No,31,4,5510.190058,two,0.005629692,1.977355078,3791.809559,147.2,68.6,3428.109393,4494,41137.31271
Honda Pilot,2005,Petrol,Manual,4,Good,Brown,No,No,No,No,2,No,No Service,1 star,Yes,No,Yes,Steel,No,24,3,7006.961056,two,-0.006506426,2.09188143,2717.466309,143,72.8,3366.817827,5038,40401.81392
Chevrolet Impala,2004,Hybrid,Manual,4,Fair,Silver,Yes,No,Yes,Yes,3,Collision,Full Service,Not rated/Unknown,No,No,Yes,Alloy,No,10,1,20109.74534,five,-0.004871254,2.315466379,3681.480335,141.3,64.3,1459.687753,6466,17516.25303
Nissan Murano,2003,Electric,Manual,4,Good,Brown,No,No,No,Yes,2,Collision,Partial Service,4 stars,No,No,No,Steel,No,16,50,11902.54098,two,-0.005923939,1.812247619,3514.519093,172.8,64.7,2546.86071,6535,30562.32852
Nissan Murano,2005,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,44,Third Party,Partial Service,Not rated/Unknown,No,No,No,Chrome,No,31,4,9717.355887,two,-0.008639908,2.382509307,3537.262162,197.5,70.1,2567.43007,5441,30809.16084
Toyota Tundra,2013,Electric,Manual,4,Good,Brown,Yes,No,Yes,Yes,2,Third Party,Full Service,4 stars,No,Yes,Yes,Chrome,Yes,13,1,22086.20366,two,0.000485216,2.396593342,3319.494624,148.1,68.2,1634.529283,4345,19614.3514
Chevrolet Volt,2015,Hybrid,Manual,4,Fair,Brown,No,No,Yes,Yes,2,Third Party,Partial Service,2 stars,No,No,No,Steel,No,6,3,15294.72852,three,-0.008309501,2.356050129,3533.699466,204.5,68.4,1765.722283,5357,21188.66739
Honda Pilot,2008,Petrol,Manual,4,Fair,Yellow,No,No,No,No,2,No,No Service,2 stars,Yes,No,Yes,Steel,No,10,4,6186.696006,three,0.002704568,2.183237205,3494.029427,206.8,64.4,3465.452176,5268,41585.42611
Nissan Murano,2008,Petrol,Manual,4,Fair,Yellow,No,No,No,Yes,2,Third Party,Full Service,2 stars,No,No,No,Forged,No,14,50,9816.044521,three,-0.000502381,1.796251397,3463.088221,182.1,68.4,3053.661489,6259,36643.93787
Chevrolet Volt,2011,Petroll,Automatic,4,Fair,Brown,No,No,Yes,Yes,1,Comprehensive,Partial Service,2 stars,Yes,No,Yes,Alloy,Yes,26,1,18818.0817,five,-0.00238948,2.093983219,3629.290823,159.2,67,1741.778081,4406,20901.33697
Nissan Murano,2005,Petrol,Manual,4,Good,Black,No,No,No,No,2,Third Party,No Service,1 star,Yes,No,Yes,Steel,No,23,50,7606.158105,three,-0.009075637,2.032774316,3516.711282,151,63.9,3254.197237,5241,39050.36684
Nissan Juke,2013,Petrol,Manual,4,Fair,Brown,No,No,No,Yes,2,Collision,No Service,1 star,No,No,No,Alloy,No,18,50,11640.83441,three,-0.005767713,2.600458895,2966.842093,158.3,68.7,2355.144414,6103,28261.73297
Honda Pilot,2004,Petrol,Manual,4,Good,White,No,No,No,No,2,No,No Service,1 star,No,No,Yes,Hubcaps,No,10,3,4847.201479,three,0.007553912,1.690206588,2952.524181,196.6,70.2,3701.651028,6417,44419.81233
Ford Escape,2015,Hybrid,Automatic,4,Good,Silver,Yes,No,No,Yes,2,No,Full Service,5 stars,Yes,Yes,No,Forged,No,29,1,29162.8051,three,0.005009172,2.782900345,3702.320583,156.1,71.6,875.25942,6300,10503.11304
Toyota Tundra,2014,Hybrid,Manual,2,Good,Silver,No,No,No,Yes,1,Collision,Partial Service,5 stars,Yes,Yes,Yes,Steel,No,31,1,24385.50263,two,-0.009775552,2.409431628,3469.973894,184.7,63.7,840.6401783,6116,10087.68214
Toyota Tundra,2012,Electric,Automatic,2,Excellent,Black,Yes,Yes,Yes,Yes,1,No,No Service,5 stars,No,Yes,No,Hubcaps,Yes,12,2,35227.78009,two,0.000993323,2.534341108,3812.72521,185.4,62.1,256.5682171,5962,3078.818605
Honda Pilot,2004,Petrol,Manual,4,Good,Black,No,No,No,No,2,No,Partial Service,2 stars,Yes,No,Yes,Chrome,No,17,3,4454.139661,two,0.007513871,1.789017459,3733.146892,161.6,68.2,3770.954192,4622,45251.4503
Nissan Juke,2011,Petrol,Manual,4,Fair,Yellow,No,No,No,Yes,2,Comprehensive,No Service,4 stars,Yes,No,No,Forged,No,7,3,11463.23613,three,-0.016694053,2.349071497,3539.047583,205.8,70.4,2256.25313,4861,27075.03756
Chevrolet Volt,2011,Electric,Manual,4,Fair,Brown,Yes,No,No,Yes,44,Comprehensive,Partial Service,1 star,Yes,No,Yes,Chrome,No,18,3,14907.58017,three,0.005433602,2.305162724,3716.333491,207.1,70.2,2144.663364,6119,25735.96037
Nissan Murano,2004,Petrol,Manual,4,Good,Yellow,No,No,No,No,44,No,No Service,Not rated/Unknown,No,No,No,Steel,No,19,2,8046.401704,three,-0.006626238,1.812200733,3247.903507,144.6,71.7,3090.842782,5287,37090.11338
Honda Pilot,2001,Petrol,Manual,4,Good,Brown,No,No,No,No,2,Third Party,No Service,Not rated/Unknown,No,No,No,Hubcaps,No,11,4,7856.121617,three,0.005705987,2.066224909,3621.629359,201.9,72.4,3010.505633,4582,36126.0676
Toyota Tundra,2017,Electric,Automatic,2,Excellent,Brown,Yes,Yes,Yes,Yes,2,No,Full Service,5 stars,Yes,No,No,Hubcaps,Yes,21,1,29764.56733,five,-0.007632592,2.320981978,3476.78891,176.3,70,928.31523,5789,11139.78276
Nissan Murano,2005,Petrol,Manual,4,Good,Brown,No,No,No,No,2,No,No Service,1 star,Yes,No,No,Hubcaps,No,15,50,7483.234261,three,-0.018048821,2.614169269,3193.002901,158.9,72.2,3045.195413,6205,36542.34496
Toyota Corolla,2022,Hybrid,Manual,2,Good,Silver,No,No,No,Yes,1,No,Full Service,5 stars,No,No,Yes,Chrome,Yes,34,4,43009.54647,six,-0.016275424,2.654643543,4317.261877,179.4,60,239.0794398,5932,2868.953278
Chevrolet Impala,2004,Hybrid,Automatic,4,Excellent,Brown,Yes,No,Yes,Yes,3,Third Party,Full Service,5 stars,No,Yes,No,Alloy,No,32,3,22214.37088,two,0.000480849,2.363502016,3419.49377,186.6,63.5,1182.004859,5984,14184.05831
Toyota Prius,2009,Hybrid,Manual,4,Good,Silver,Yes,No,No,Yes,2,Third Party,Full Service,5 stars,Yes,Yes,Yes,Alloy,Yes,16,1,28792.09677,two,0.002597225,2.360641371,3534.231954,206.7,64,415.9176335,5740,4991.011602
Toyota Tundra,2014,Hybrid,Automatic,2,Good,Beige,No,No,No,Yes,2,Comprehensive,Full Service,5 stars,No,No,Yes,Chrome,No,6,1,26154.57568,two,-0.009043166,2.616488677,3949.998048,144.1,68.7,1180.887413,5846,14170.64895
Ford Escape,2017,Hybrid,Automatic,4,Good,Beige,No,Yes,No,Yes,1,No,Full Service,5 stars,No,Yes,Yes,Steel,No,20,1,28603.50629,two,0.006385925,2.982406641,3336.785185,175.6,72.5,918.9976492,6090,11027.97179
Ford Escape,2019,Electric,Automatic,4,Good,Brown,Yes,Yes,Yes,Yes,1,Comprehensive,Full Service,4 stars,No,Yes,Yes,Chrome,No,21,1,25474.64147,five,-0.016615201,2.477955327,3619.347198,166.7,66.3,1099.477085,4795,13193.72502
Ford Fusion,2010,Petrol,Automatic,4,Good,Brown,No,No,No,Yes,44,Collision,Partial Service,4 stars,No,No,Yes,Alloy,Yes,15,4,17361.5306,4,-0.000660798,2.036182044,3591.250095,157.9,72.7,1950.943561,5806,23411.32273
Toyota Camry,2004,Hybrid,Automatic,4,Excellent,Beige,No,Yes,No,Yes,1,Comprehensive,Full Service,2 stars,No,Yes,Yes,Chrome,Yes,15,3,26480.25219,three,-0.012110162,2.736416181,3645.472794,204.2,68,941.1383517,5455,11293.66022
Honda Pilot,2002,Petrol,Manual,4,Fair,Yellow,No,No,No,No,3,No,Partial Service,2 stars,Yes,No,Yes,Hubcaps,No,8,3,6684.225088,three,-0.006518361,2.049845447,3429.421045,193.3,66.9,3207.694208,4713,38492.3305
Toyota Tundra,2014,Hybrid,Automatic,4,Good,Brown,Yes,No,Yes,Yes,2,Comprehensive,Full Service,5 stars,Yes,No,Yes,Steel,No,16,2,27112.73876,five,0.000473987,2.563242648,3564.967061,178.3,62.3,955.7860375,5217,11469.43245
Honda Pilot,2000,Petrol,Manual,4,Good,Yellow,No,No,No,No,2,No,Partial Service,2 stars,No,No,No,Steel,No,16,4,5795.287451,two,-0.008604134,1.526992749,3622.861357,203.7,72.6,3407.913398,5925,40894.96077
Honda Pilot,2005,Petrol,Manual,4,Fair,Brown,No,No,No,No,2,No,No Service,Not rated/Unknown,No,No,No,Chrome,No,21,3,6657.836337,three,-0.003845555,2.369166999,3521.966104,162,61.6,3182.868448,5306,38194.42137
Ford Escape,2017,Hybrid,Automatic,4,Good,Brown,No,Yes,No,Yes,1,Third Party,Partial Service,5 stars,No,No,Yes,Chrome,Yes,11,3,24734.49661,five,0.010062928,2.998740801,3517.031856,142.4,61.3,978.4704433,4336,11741.64532
Nissan Murano,2005,Petrol,Manual,4,Fair,Yellow,No,No,No,No,3,No,No Service,2 stars,No,No,No,Hubcaps,No,14,2,6712.241904,two,-0.005768919,1.886144538,3909.432892,197.5,66.9,3411.096441,5207,40933.15729
Chevrolet Bolt,2018,Hybrid,Automatic,4,Good,Yellow,No,No,Yes,Yes,2,Collision,Full Service,4 stars,Yes,No,No,Chrome,No,14,4,14021.20789,six,0.008356921,2.139598371,3473.095888,152.3,63.2,2010.66121,6450,24127.93452
Ford Fusion,2011,Hybrid,Manual,4,Good,Brown,No,Yes,No,Yes,1,Comprehensive,Partial Service,3 stars,Yes,Yes,Yes,Forged,No,6,2,25240.61728,six,-0.011297069,2.592769582,3717.838218,150.9,70.1,1102.476468,5362,13229.71761
Ford Fusion,2010,Hybrid,Automatic,4,Good,Black,No,No,No,Yes,2,Comprehensive,Full Service,4 stars,No,No,No,Forged,Yes,33,3,26982.98823,two,0.005298042,2.707975447,3775.302351,175.1,63.1,1002.566126,6572,12030.79351
Nissan Murano,2005,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,44,Third Party,Partial Service,1 star,No,No,No,Chrome,No,11,3,8533.162666,two,0.014415686,1.843102875,3364.982911,192.8,68.3,2994.881483,4655,35938.5778
Chevrolet Volt,2014,Hybrid,Manual,4,Good,Brown,Yes,No,Yes,Yes,1,Third Party,Partial Service,4 stars,No,No,No,Chrome,No,23,1,20211.16627,three,-0.024716445,2.497856571,3233.373284,203.8,70.4,1663.339058,6022,19960.0687
Toyota Tundra,2011,Electric,Manual,4,Good,Brown,No,No,No,Yes,2,Third Party,Full Service,5 stars,No,No,Yes,Forged,Yes,30,1,28502.24483,five,-0.007968953,2.745324929,3481.561489,141.6,63.8,1197.952875,5848,14375.4345
Toyota Tundra,2011,Hybrid,Manual,2,Good,Brown,Yes,No,No,Yes,1,Collision,No Service,5 stars,No,No,Yes,Alloy,No,18,3,25054.81959,six,0.005770721,2.59898232,3556.159171,158.9,67.1,1203.983194,5592,14447.79833
Ford Escape,2014,Hybrid,Manual,2,Good,Brown,No,Yes,No,Yes,1,Collision,No Service,4 stars,Yes,Yes,No,Forged,No,7,1,25707.30849,three,-0.002030454,2.339664835,3396.285232,154,69.1,1008.539981,5496,12102.47977
Chevrolet Volt,2011,Petrol,Automatic,4,Good,Brown,Yes,No,No,Yes,2,Third Party,Full Service,Not rated/Unknown,Yes,No,Yes,Steel,No,33,3,19214.01826,five,0.003711459,2.988396419,3929.389244,169.9,66.3,1797.908882,4245,21574.90658
Ford Fusion,2010,Electric,Manual,2,Good,Brown,No,No,No,Yes,2,Third Party,Full Service,3 stars,No,No,Yes,Alloy,Yes,24,1,27506.21555,two,-0.006039852,2.1827867,3177.144416,197.7,71.5,1011.818961,6493,12141.82753
